What is your age?,What is your gender?,What is your highest level of education?,What was your field of study?,How many years have passed since your graduation?,Are you currently employed?,What is your current employment status?,How long did it take to find a job after graduation?,Is your current job related to your field of study?,What was the main reason for working in a job unrelated to your degree? (If applicable),Have you experienced any periods of unemployment since graduation?,How satisfied are you with your current job?,Do you see clear career growth opportunities in your current job?,Have you had to change jobs to find better employment opportunities?,How often have you considered further education or training to improve your job prospects?,Do you feel your degree adequately prepared you for the job market?,What skills do you think were missing from your university education that employers demand? (Check all that apply),Have you had to pursue additional training or certifications to improve employability?,Were there any gaps in your education that you believe should have been addressed?,"On a scale of 1-10, How well did your degree prepare you for the job market?",Have you taken out student loans to finance your education?,"On a scale of 1-10, how would you rate the financial burden of your education?",Do you believe your education offers a good return on investment?,Have you ever faced difficulties in finding a job due to a lack of experience?,What do you think should be improved in Sri Lanka’s higher education system to enhance graduate employability? (Check all that apply),Would you consider leaving Sri Lanka for better job opportunities?,"Overall, how satisfied are you with the quality of education you received?",What improvements would you suggest for the curriculum to better prepare students for the job market?,"If you are unemployed, how long have you been seeking employment?",What do you think is the primary reason for your current unemployment?,Have you applied for jobs related to your field of study while unemployed?,"If yes, what has been the main reason for not securing a job related to your degree?",How often do you face rejections from employers when applying for jobs?,Do you feel that having a bachelor’s degree has made it more difficult to find a job?,What do you think would improve your chances of finding employment? (Check all that apply),Have you taken any steps to improve your employability while unemployed?,How do you feel about your prospects of securing a job in the near future?,What do you think needs to change in the education system or job market to reduce unemployment among bachelor’s degree holders? (Open-ended)
25–30,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of required skills/experience,Yes,3,Somewhat,Yes,Occasionally,Yes,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Industry-Specific Knowledge",Yes,Yes,7,No,8,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,Recruit and invest in fresh graduates by providing comprehensive training and professional development. Retain top talent by offering competitive salaries and a supportive work environment that fosters long-term commitment and growth.,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,No,1,Yes,Yes,Very often,Yes,Practical/Technical Skills,Yes,Yes,10,No,1,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,5,Learning new technology ,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,Yes,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,6,No,4,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Maybe,2,"The curriculum should incorporate more practical skills, industry-relevant training, internships, and soft skills development to better prepare students for the job market.",,,,,,,,,,
18–24,Female,Bachelor’s Degree,Science & Technology,1,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Lack of job opportunities in my field,Yes,Employers seeking more experience,3,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs)","Yes, I have enrolled in additional courses or certifications",3,"The education system should align curricula with industry demands through practical training, internships, and skill-based learning, while the job market should expand entry-level opportunities and encourage entrepreneurship to reduce unemployment among bachelor’s degree holders."
25–30,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,Yes,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving",Yes,Yes,7,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Maybe,3,"The curriculum should incorporate more practical skills, industry-relevant training, internships, and soft skills development to better prepare students for the job market.",,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,2,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,,,1,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5,Yes,6,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,5,Yes,Yes,Very often,Yes,Digital Literacy,Yes,Yes,10,No,3,Yes,No,Updated curriculum aligned with industry needs,Yes,1,,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Science & Technology,6,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,5,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,8,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,4,"As an IT professional, I would recommend that university degree programs adopt a more up-to-date curriculum that reflects the current needs of the industry. For example, as a software engineer, I believe there should be greater emphasis on modern technologies such as cloud computing, artificial intelligence, and related tools. Instead of focusing heavily on memorization, the curriculum and exams should encourage logical thinking, problem-solving, and practical application of knowledge. This approach would better equip students with the skills required to meet real-world challenges and prepare them more effectively for the job market.",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,3 years,Yes,Employed (Full-time),3–6 months,Not related,Lack of job opportunities in my field,,2,Somewhat,No,Very often,No,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5,Yes,6,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Postgraduate Degree,"Science & Technology, Business & Management, Medicine/Health Sciences",2,Yes,Employed (Full-time),3–6 months,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",No,Yes,5,Yes,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,,,,,,,,,,,
